Event,Time,Elapsed,Sequence,Thermal Runaway
Ignition,9:46:23,,1,N
Venting,10:13:01,,2,N
Deflagration,10:13:21,,3,N
Doors Closed,10:20:21,,4,N
"Initiating Unit, Module 5",10:26:49,0:40:26,5,Y
"Left Unit, Module 4",10:33:20,0:46:57,6,Y
"Initiating Unit, Module 4",10:35:27,0:49:04,7,Y
"Left Unit, Module 5",10:42:10,0:55:47,8,Y
"Left Unit, Module 3",10:43:49,0:57:26,9,Y
"Left Unit, Module 6",10:45:04,0:58:41,10,Y
"Initiating Unit, Module 6",10:47:18,1:00:55,11,Y
"Left Unit, Module 7",10:50:49,1:04:26,12,Y
"Initiating Unit, Module 7",11:00:00,1:13:37,13,Y
"Left Unit, Module 8",11:01:33,1:15:10,14,Y
"Initiating Unit, Module 8",11:09:20,1:22:57,15,Y
"Initiating Unit, Module 9",11:12:11,1:25:48,16,Y
"Left Unit, Module 9",11:15:09,1:28:46,17,Y
"Initiating Unit, Module 2",11:41:16,1:54:53,18,Y
"Left Unit, Module 2",11:54:29,2:08:06,19,Y
"Left Unit, Module 1",13:00:11,3:13:48,20,Y
"Initiating Unit, Module 1",13:00:27,3:14:04,21,Y
